,Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
1275,Amber Chapman,20.0,58,97.0,99.0
1276,Angela Taylor,23.0,88,67.0,67.0
1277,David Singleton,20.0,90,50.0,88.0
1278,Jason Sheppard,25.0,34,46.0,81.0
1279,Michael Mcmillan,22.0,49,87.0,70.0
1280,Jason Juarez,22.0,34,91.0,93.0
1281,Christopher Wilson,22.0,76,37.0,96.0
1282,Kathryn Fuentes,23.0,64,90.0,71.0
1283,Rose Atkinson,19.0,47,38.0,65.0
1284,Jennifer Ramirez,24.0,96,40.0,49.0
1285,Mr. Jimmy Cruz,24.0,63,62.0,62.0
1286,James Baker,24.0,92,80.0,53.0
1287,Michael Mccarty,22.0,72,57.0,64.0
1288,Kathleen Tucker,23.0,48,52.0,89.0
1289,Stephanie Costa,21.0,90,70.0,83.0
1290,Tiffany Glass,19.0,54,68.0,74.0
1291,Elijah Reyes,18.0,54,83.0,57.0
1292,Tammy Vega,20.0,100,59.0,91.0
1293,Karen Torres,19.0,96,58.0,79.0
1294,Jessica Mcpherson,18.0,65,45.0,91.0
1295,Hailey Tate,23.0,98,41.0,55.0
1296,Dr. Kristina Gordon MD,21.0,45,35.0,48.0
1297,Colleen Little,18.0,98,34.0,42.0
1298,Christopher Lee,19.0,96,69.0,97.0
1299,Jennifer Marshall,22.0,48,70.0,68.0
1300,Thomas Khan,23.0,42,62.0,41.0
1301,Brad Russell,21.0,61,71.0,79.0
1302,Christine Davis,20.0,49,39.0,93.0
1303,Melissa Webb,24.0,55,96.0,87.0
1304,Clayton Rodriguez,24.0,97,92.0,31.0
1305,Anita Copeland,25.0,83,38.0,65.0
1306,Charles Curry,24.0,45,92.0,95.0
1307,Hannah Snyder,19.0,85,81.0,58.0
1308,Samantha Eaton,23.0,98,95.0,41.0
1309,Allison Gilbert,22.0,64,81.0,70.0
1310,Austin Ruiz,20.0,93,34.0,95.0
1311,Amanda Horn,25.0,95,81.0,69.0
1312,Jonathan Austin,18.0,92,55.0,68.0
1313,Jerry Moody,21.0,60,50.0,74.0
1314,Robert Villarreal,22.0,47,45.0,84.0
1315,Amy Berger,18.0,34,41.0,61.0
1316,Jared Thomas,20.0,69,95.0,86.0
1317,Elizabeth Smith,25.0,35,80.0,81.0
1318,Steven Barnett,20.0,72,50.0,96.0
1319,Christopher Smith,24.0,79,84.0,92.0
1320,Robin Snyder,20.0,86,67.0,64.0
1321,Sandra French,23.0,32,79.0,54.0
1322,Christopher Hill,23.0,31,70.0,85.0
1323,Kathleen Cunningham,22.0,60,71.0,49.0
1324,Amanda Maynard,21.0,62,86.0,32.0
1325,David Vargas,21.0,82,43.0,49.0
1326,Kimberly Russell,22.0,98,49.0,100.0
1327,Cindy Wilson,22.0,47,62.0,59.0
1328,Kevin Hayes,25.0,42,91.0,38.0
1329,Heidi Watson,20.0,31,89.0,48.0
1330,Kyle Smith,19.0,90,49.0,54.0
1331,Jamie Calderon,19.0,63,76.0,56.0
1332,Judith Kelley PhD,21.0,44,100.0,50.0
1333,Michael Pierce,25.0,96,62.0,65.0
1334,Melissa Gray,20.0,92,98.0,55.0
1335,Phyllis Hughes,25.0,90,92.0,81.0
1336,Cathy Maldonado,20.0,98,53.0,84.0
1337,Tim Barnes,18.0,96,62.0,44.0
1338,Susan Collins,23.0,56,47.0,39.0
1339,Mr. Sean Chandler Jr.,20.0,92,95.0,47.0
1340,Aaron Allen,19.0,76,96.0,78.0
1341,Jeffrey Weaver,18.0,90,36.0,50.0
1342,Danielle Sanchez,21.0,52,65.0,35.0
1343,Frank Vincent,18.0,30,92.0,87.0
1344,Lisa Hamilton,21.0,55,67.0,94.0
1345,Eileen Gibson,25.0,84,43.0,59.0
1346,Michael Frederick,19.0,43,43.0,100.0
1347,Darrell Patton,22.0,68,93.0,100.0
1348,Caleb Robertson,19.0,97,78.0,55.0
1349,Tina Nguyen,23.0,72,57.0,98.0
1350,Edward Cantrell,19.0,41,75.0,76.0
1351,James Freeman,21.0,89,45.0,71.0
1352,Samantha Mccarty,24.0,42,69.0,60.0
1353,Tina Harrell,19.0,93,67.0,46.0
1354,Anna Houston,21.0,34,93.0,67.0
1355,Paul Bernard,21.0,58,44.0,34.0
1356,Michael Hampton,23.0,95,81.0,83.0
1357,Sandra Smith,23.0,63,78.0,65.0
1358,Brian Hunter,23.0,45,42.0,82.0
1359,Jason Hansen,23.0,45,78.0,49.0
1360,Hayley Dougherty,20.0,92,77.0,99.0
1361,Eric Anthony,23.0,64,44.0,33.0
1362,Nicole Lopez,20.0,72,65.0,90.0
1363,Micheal Ochoa,24.0,63,42.0,96.0
1364,Kathryn Morris,18.0,97,50.0,43.0
1365,Janice Walker,18.0,38,57.0,52.0
1366,Christy Morgan,19.0,97,93.0,34.0
1367,Sergio Walker,19.0,36,35.0,76.0
1368,Darrell Norman,25.0,75,89.0,48.0
1369,Albert Liu,24.0,90,74.0,49.0
1370,Jodi Garcia,22.0,59,98.0,48.0
1371,Catherine Salinas,24.0,39,71.0,83.0
1372,Wendy Young MD,22.0,55,55.0,50.0
1373,Nicholas Diaz,24.0,82,84.0,68.0
1374,Zachary Bolton,24.0,44,99.0,33.0
1375,Nicole Price,23.0,70,66.0,78.0
1376,Alicia Diaz,24.0,66,37.0,80.0
1377,Jonathan Adams,22.0,60,70.0,30.0
1378,Mariah Brown,18.0,34,55.0,96.0
1379,Maria Beard,21.0,93,65.0,67.0
1380,Robin Gordon,23.0,74,45.0,68.0
1381,Amy Little MD,21.0,89,59.0,62.0
1382,Valerie Thornton,24.0,61,32.0,69.0
1383,Nancy Watkins,21.0,61,100.0,65.0
1384,Andrew Kirby,25.0,94,91.0,84.0
1385,Diana Ruiz,23.0,80,49.0,79.0
1386,Calvin Matthews DVM,22.0,64,97.0,66.0
1387,Matthew Nguyen,25.0,90,54.0,89.0
1388,Troy Morales,20.0,83,83.0,43.0
1389,Marie Liu,20.0,98,98.0,83.0
1390,Sabrina Jackson,19.0,73,80.0,67.0
1391,Jacob Brown,23.0,72,65.0,58.0
1392,Michelle Turner,20.0,44,91.0,32.0
1393,Kelly Campbell,19.0,40,52.0,71.0
1394,Michael Becker,20.0,46,54.0,65.0
1395,Catherine Pearson,23.0,41,97.0,48.0
1396,Christopher Mcdaniel,23.0,30,36.0,36.0
1397,Maria Parker,21.0,63,88.0,97.0
1398,Bob Wong,25.0,38,46.0,49.0
1399,Teresa Anderson,25.0,34,53.0,48.0
1400,Thomas Camacho,25.0,99,80.0,35.0
1401,Katherine Le,21.0,97,89.0,47.0
1402,Julia Barr,23.0,75,90.0,72.0
1403,Crystal Ramos,23.0,51,39.0,41.0
1404,Andrew Carter,20.0,92,68.0,91.0
1405,Jimmy Meadows,19.0,64,70.0,48.0
1406,Stephen Short,21.0,53,94.0,59.0
1407,Julie Ferguson,24.0,100,72.0,73.0
1408,Gregory Smith,23.0,30,76.0,35.0
1409,William Mccullough,21.0,54,67.0,94.0
1410,Melinda Lopez,21.0,67,87.0,89.0
1411,Theresa Williams,19.0,35,46.0,99.0
1412,Michael Smith,25.0,55,42.0,70.0
1413,Susan Mcdowell,20.0,67,82.0,84.0
1414,Tara Rodriguez,21.0,35,53.0,92.0
1415,Amy Lopez,20.0,46,67.0,49.0
1416,Amy Jones,25.0,94,98.0,95.0
1417,Susan Olson,21.0,93,99.0,40.0
1418,Gary Conley,19.0,37,32.0,35.0
1419,Alexandra Smith,24.0,78,41.0,65.0
1420,Nicholas Mcguire,19.0,81,62.0,85.0
1421,James Martin,21.0,47,66.0,56.0
1422,Jessica Jones,21.0,98,96.0,72.0
1423,Tracy Silva,24.0,59,81.0,77.0
1424,David Stevens,25.0,51,56.0,85.0
1425,Kenneth Torres,25.0,72,97.0,70.0
1426,Paul Serrano,25.0,37,94.0,99.0
1427,Frank Graham,25.0,68,40.0,77.0
1428,Patrick Mcgrath,19.0,42,83.0,46.0
1429,Teresa Andersen,25.0,82,47.0,52.0
1430,Juan Lopez,21.0,69,70.0,40.0
1431,Allison Davis,23.0,54,79.0,81.0
1432,Debra Winters,22.0,91,53.0,47.0
1433,Andrew Kim,20.0,50,96.0,41.0
1434,Alec Farrell,22.0,67,43.0,85.0
1435,Michael Campbell,22.0,90,45.0,46.0
1436,David Anderson,19.0,93,60.0,32.0
1437,Jennifer Cruz,20.0,84,74.0,91.0
1438,John Blake,19.0,64,64.0,52.0
1439,Amy Johnson,20.0,92,53.0,53.0
1440,Carlos Mcintosh,22.0,76,70.0,58.0
1441,Bethany Jones,24.0,30,88.0,60.0
1442,Aaron Ward,18.0,99,35.0,30.0
1443,Michael Ward,24.0,40,39.0,40.0
1444,Stephanie Smith,25.0,53,65.0,64.0
1445,Roy Mckinney,18.0,47,35.0,96.0
1446,Scott Taylor,22.0,83,49.0,88.0
1447,Matthew Andrews,21.0,86,97.0,94.0
1448,Rodney Barrera,18.0,90,86.0,48.0
1449,Dustin Riddle,20.0,94,77.0,82.0
1450,Sean Young,23.0,30,89.0,34.0
1451,Brian Johnson,19.0,55,76.0,76.0
1452,Kayla Lewis,20.0,55,91.0,64.0
1453,Angela Jones,21.0,96,59.0,41.0
1454,Clifford Gonzales,22.0,31,43.0,72.0
1455,Christian Ward,25.0,76,56.0,77.0
1456,Jill Carlson,18.0,49,49.0,72.0
1457,Dennis Hood,25.0,31,47.0,48.0
1458,Jill Moreno,22.0,65,34.0,96.0
1459,William Ward,20.0,35,71.0,79.0
1460,Dominic Gilmore,18.0,91,65.0,62.0
1461,Sarah Nash,21.0,50,38.0,44.0
1462,Ethan Allen,18.0,52,68.0,96.0
1463,Christopher Ryan,19.0,61,86.0,72.0
1464,Craig Briggs,25.0,50,32.0,96.0
1465,Nancy Henson,22.0,93,85.0,76.0
1466,Kristina Hanson,23.0,49,61.0,35.0
1467,Deanna Sparks,22.0,65,35.0,34.0
1468,Christopher Campbell,25.0,58,33.0,84.0
1469,Donna Hernandez,19.0,95,32.0,43.0
1470,Alfred Mays,24.0,82,31.0,97.0
1471,Steven Burns,21.0,52,52.0,35.0
1472,Dr. Jonathan Smith,18.0,82,98.0,82.0
1473,Krystal Waters,24.0,59,33.0,32.0
1474,Wendy Cook,22.0,93,60.0,96.0
1475,Janet Walker,19.0,84,41.0,33.0
1476,Kevin Evans,24.0,47,60.0,34.0
1477,Dominic Sparks DVM,20.0,51,89.0,39.0
1478,Marilyn Coleman,19.0,40,85.0,85.0
1479,Sheila Munoz,21.0,35,34.0,39.0
1480,Victoria Barnett,19.0,48,97.0,34.0
1481,William Young,24.0,79,86.0,83.0
1482,Patricia Nelson,25.0,93,38.0,100.0
1483,Cynthia Berry,22.0,47,67.0,50.0
1484,Richard Barnes,25.0,39,89.0,44.0
1485,Leonard Lindsey,23.0,56,65.0,64.0
1486,Taylor Brown,18.0,39,99.0,57.0
1487,Veronica Franklin,23.0,70,86.0,73.0
1488,Andrew Lara,18.0,69,66.0,51.0
1489,Collin Acosta,25.0,91,52.0,56.0
1490,Donald Gibson,25.0,71,61.0,68.0
1491,Daniel Fischer,22.0,97,79.0,52.0
1492,Shawn Estes,20.0,35,45.0,36.0
1493,Amanda Fuller,19.0,86,51.0,98.0
1494,Brian Ramirez,22.0,76,35.0,70.0
1495,James Miles,22.0,75,55.0,38.0
1496,Kim Dickerson,23.0,39,61.0,31.0
1497,Eddie Fuller,22.0,34,99.0,82.0
1498,Timothy Anthony,23.0,68,31.0,59.0
1499,Keith Ward,22.0,97,69.0,41.0
1500,Gail Zhang,22.0,81,84.0,85.0
1501,Todd Long,25.0,95,69.0,66.0
1502,Danielle Estrada,22.0,96,44.0,79.0
1503,Margaret Savage DDS,19.0,31,97.0,51.0
1504,Erica King,18.0,46,64.0,62.0
1505,Krista Robinson,19.0,31,63.0,99.0
1506,Mark Christensen,19.0,77,44.0,36.0
1507,Beverly Davis,20.0,32,69.0,44.0
1508,Gary Edwards,23.0,88,40.0,55.0
1509,Caleb Brooks,24.0,60,78.0,62.0
1510,John Harper,18.0,40,96.0,80.0
1511,Brittany Stephens,23.0,31,30.0,98.0
1512,Christina Gardner,19.0,48,49.0,94.0
1513,Samantha Underwood,19.0,72,45.0,70.0
1514,William Berry,20.0,81,76.0,39.0
1515,Troy Davis,21.0,51,75.0,90.0
1516,Autumn Chang,22.0,74,69.0,82.0
1517,Stacy Garcia,20.0,67,46.0,34.0
1518,Tracy Allen,25.0,57,37.0,58.0
1519,David Moore,25.0,60,39.0,79.0
1520,Derek Doyle,24.0,43,54.0,76.0
1521,Michael Williams,21.0,67,89.0,97.0
1522,Christine Stanley,25.0,43,68.0,88.0
1523,Sara Hall,22.0,38,81.0,83.0
1524,Nicole Howard,21.0,53,66.0,99.0
1525,David Sanchez,20.0,54,51.0,54.0
1526,Andrew Wood,25.0,49,32.0,36.0
1527,Susan Brown,19.0,38,38.0,47.0
1528,Ashley Boyd,21.0,72,65.0,91.0
1529,Tony Mcdonald,25.0,36,84.0,39.0
1530,Terry Contreras,23.0,98,65.0,100.0
1531,David Stanley,20.0,39,69.0,43.0
1532,Brittany James,19.0,64,72.0,91.0
1533,Kathleen Johnson,24.0,30,82.0,44.0
1534,Elizabeth Barnett,22.0,82,38.0,34.0
1535,Donna Robertson,20.0,71,35.0,95.0
1536,Dr. Keith Gonzalez,20.0,85,49.0,83.0
1537,Matthew Davis,20.0,83,60.0,36.0
1538,Daniel Riggs,18.0,78,46.0,72.0
1539,Dennis George,19.0,49,79.0,71.0
1540,Shane Harrison,22.0,70,39.0,33.0
1541,Patricia Moore,23.0,97,81.0,66.0
1542,Sandra Snyder,25.0,61,74.0,76.0
1543,John Keller,22.0,85,68.0,71.0
1544,Stacie Herrera,21.0,40,58.0,61.0
1545,Alyssa Owens,22.0,70,74.0,85.0
1546,Ashley Perkins,22.0,78,78.0,31.0
1547,Sarah Herrera,24.0,46,39.0,71.0
1548,Joshua Gutierrez,22.0,67,93.0,89.0
1549,Charles Barnes,25.0,100,58.0,36.0
1550,Ashley Spencer,22.0,46,75.0,74.0
1551,Tiffany Taylor,25.0,100,63.0,83.0
1552,Joshua Brooks,25.0,55,39.0,40.0
1553,Jennifer Fisher,22.0,65,73.0,75.0
1554,Rachel Reese,25.0,67,90.0,66.0
1555,Dana White,21.0,62,75.0,93.0
1556,Jesse Gomez,18.0,61,47.0,39.0
1557,Thomas Kelley,23.0,82,98.0,54.0
1558,Michael Jones,22.0,57,81.0,91.0
1559,Calvin Eaton,23.0,44,95.0,93.0
1560,Ronald Russell,24.0,63,64.0,94.0
1561,Tonya Aguilar,22.0,73,40.0,69.0
1562,Henry Kramer,22.0,39,100.0,79.0
1563,Melissa Harris,19.0,91,52.0,57.0
1564,Matthew Wiggins,19.0,85,42.0,47.0
1565,Paul Bowen,23.0,60,52.0,51.0
1566,Kara Wright,22.0,68,60.0,52.0
1567,Vanessa Harrison,18.0,69,89.0,45.0
1568,Jenny Holmes,19.0,40,72.0,76.0
1569,Mary Lewis,18.0,62,84.0,84.0
1570,Juan Stewart,20.0,69,80.0,59.0
1571,Robert Jefferson,19.0,86,86.0,42.0
1572,Michael Ramos,25.0,79,58.0,65.0
1573,Mrs. Ann Mckee,23.0,83,62.0,77.0
1574,Cassie Hansen,19.0,43,97.0,96.0
1575,Heather Davis,24.0,53,66.0,63.0
1576,Kevin Lopez,18.0,93,56.0,78.0
1577,Amanda Bass,18.0,48,99.0,95.0
1578,Joel Cline DDS,22.0,33,96.0,63.0
1579,Rebecca Graves,22.0,88,72.0,71.0
1580,Gregory Griffin,18.0,74,35.0,76.0
1581,Sheryl Mcintosh,23.0,58,49.0,41.0
1582,Ellen Salinas,25.0,96,50.0,55.0
1583,Nathaniel Rivera,25.0,65,53.0,75.0
1584,Susan Cook,18.0,48,100.0,75.0
1585,Roy Clark,21.0,73,69.0,32.0
1586,Timothy Marshall,19.0,94,73.0,49.0
1587,Christopher Perry,21.0,53,41.0,78.0
1588,Kimberly Hernandez,23.0,33,59.0,90.0
1589,Henry Lopez,21.0,78,52.0,41.0
1590,Laura Martin,19.0,46,70.0,38.0
1591,Tina Ruiz,18.0,63,57.0,74.0
1592,Christina Leonard,24.0,35,65.0,56.0
1593,Lisa Garcia,21.0,39,76.0,55.0
1594,Madison Cole,21.0,44,76.0,70.0
1595,Adam Bates,18.0,69,79.0,79.0
1596,Michelle Cox,22.0,41,66.0,64.0
1597,Katherine Peterson,18.0,99,42.0,33.0
1598,Jocelyn George,18.0,88,37.0,37.0
1599,Christian Garza,20.0,54,30.0,94.0
1600,Kyle Riley,24.0,77,85.0,92.0
1601,Kaylee Gutierrez,18.0,32,69.0,58.0
1602,Dr. Steven Wilkins,22.0,55,44.0,69.0
1603,Matthew Jones,19.0,35,79.0,53.0
1604,Patrick Wells,21.0,40,37.0,68.0
1605,Danielle Martinez,22.0,79,59.0,100.0
1606,Kevin Horn,25.0,90,82.0,56.0
1607,Carol Miles,20.0,90,60.0,81.0
1608,Christopher Morrison,19.0,75,87.0,92.0
1609,Jason Singleton,20.0,83,73.0,35.0
1610,William Gibson,22.0,59,71.0,95.0
1611,Holly Brown,25.0,59,89.0,36.0
1612,Robert Parker,25.0,47,59.0,94.0
1613,Rodney Goodwin,21.0,43,42.0,89.0
1614,Alexander Robertson,20.0,64,35.0,41.0
1615,Jimmy Sullivan,19.0,67,65.0,88.0
1616,Emily Robinson,21.0,38,82.0,53.0
1617,Susan Turner,24.0,89,67.0,54.0
1618,Zachary Scott,18.0,83,68.0,88.0
1619,Timothy Kelly,23.0,46,60.0,61.0
1620,Susan Nguyen,20.0,41,81.0,40.0
1621,Deborah Santiago,24.0,96,86.0,76.0
1622,Jon Young,25.0,49,37.0,80.0
1623,John Pennington,24.0,57,80.0,41.0
1624,Kyle Wilson,25.0,98,30.0,77.0
1625,Teresa Williams,25.0,39,70.0,75.0
1626,Theresa Reynolds,21.0,64,82.0,44.0
1627,Angela Hampton,18.0,40,65.0,94.0
1628,Amanda Huang,22.0,64,75.0,98.0
1629,Rachel Delgado,18.0,59,31.0,34.0
1630,Bethany Ortiz,23.0,71,47.0,40.0
1631,William Chandler,19.0,79,72.0,61.0
1632,William Jenkins,24.0,43,63.0,100.0
1633,Joseph Dunn,18.0,74,94.0,34.0
1634,Vanessa Hill,20.0,38,63.0,66.0
1635,Tracy Sandoval,19.0,76,81.0,77.0
1636,Robert Villegas,24.0,36,86.0,72.0
1637,Maria Johnson,25.0,48,31.0,79.0
1638,Morgan Adams,23.0,89,97.0,85.0
1639,Jennifer Chambers,23.0,86,83.0,58.0
1640,James Johnson,25.0,88,38.0,80.0
1641,Diane Leach DVM,19.0,55,100.0,46.0
1642,Julie Thomas,23.0,45,80.0,50.0
1643,Corey Hernandez,24.0,99,65.0,76.0
1644,Paul Hughes,19.0,40,49.0,93.0
1645,Rebecca Adams,21.0,84,38.0,96.0
1646,Dawn Sellers,20.0,42,94.0,55.0
1647,Scott James,18.0,91,59.0,37.0
1648,Kristina Moore,25.0,83,55.0,49.0
1649,Pamela Webster,23.0,50,86.0,42.0
1650,Rickey Richards,18.0,61,73.0,89.0
1651,Luke Griffin,20.0,67,39.0,63.0
1652,Jacqueline Anderson,21.0,38,99.0,99.0
1653,Caitlyn Carter,19.0,71,64.0,95.0
1654,Jessica Hall,18.0,76,32.0,34.0
1655,Christopher Brown,22.0,88,80.0,81.0
1656,Monica Spears,22.0,33,87.0,84.0
1657,Barry Smith,18.0,41,37.0,91.0
1658,Randy Webb,25.0,34,54.0,45.0
1659,Erica Roberts,21.0,97,35.0,72.0
1660,Edward Thomas,18.0,58,89.0,64.0
1661,Sarah Flores,18.0,63,34.0,76.0
1662,Debbie Walker,20.0,75,47.0,88.0
1663,Sandra Gutierrez,22.0,80,80.0,88.0
1664,Dustin Williams,23.0,60,65.0,53.0
1665,Desiree Perry,18.0,73,35.0,34.0
1666,Laura Hardy,24.0,36,100.0,79.0
1667,Timothy White,21.0,94,88.0,84.0
1668,Jason Moore,18.0,79,62.0,99.0
1669,Philip Hernandez,24.0,61,45.0,51.0
1670,Jeffrey Garcia,22.0,93,52.0,86.0
1671,Hector Williams,22.0,72,52.0,50.0
1672,Travis Beard,25.0,85,49.0,91.0
1673,David Taylor,20.0,100,65.0,69.0
1674,Alison Bautista MD,22.0,74,61.0,43.0
1675,Thomas Faulkner,24.0,42,58.0,95.0
1676,Steven Pacheco,25.0,41,76.0,62.0
1677,Ashley Carr,23.0,92,84.0,43.0
1678,Timothy Robinson,23.0,77,36.0,66.0
1679,Elizabeth Clark,23.0,80,100.0,59.0
1680,Tracy Hayes,20.0,80,78.0,84.0
1681,Patrick Alvarez,22.0,49,92.0,31.0
1682,Christopher Carpenter,20.0,55,49.0,72.0
1683,Bryan Ritter,24.0,92,39.0,56.0
1684,Joshua Edwards,18.0,94,76.0,43.0
1685,Daniel Hensley,25.0,39,87.0,49.0
1686,Pamela Keith,25.0,89,54.0,76.0
1687,Shawn Shaffer,21.0,88,79.0,30.0
1688,Mary Mcguire,24.0,90,80.0,65.0
1689,Mary Perry,21.0,74,91.0,48.0
1690,Allen Wells,22.0,90,98.0,46.0
1691,John Harris,22.0,60,90.0,90.0
1692,Cathy Thomas,18.0,61,47.0,48.0
1693,Carlos Bates,25.0,90,62.0,70.0
1694,Pedro Delgado,20.0,72,84.0,61.0
1695,Douglas Roberson,20.0,66,60.0,43.0
1696,Joann Mcdonald,23.0,57,55.0,52.0
1697,Raven Sanchez,24.0,36,51.0,40.0
1698,Stanley Adams,22.0,82,94.0,54.0
1699,Tanya Hayes,19.0,70,55.0,31.0
1700,Randy Rosario,18.0,84,42.0,65.0
1701,Laura Banks,22.0,45,97.0,56.0
1702,Courtney Rich,22.0,32,60.0,51.0
1703,Misty Ross,22.0,98,41.0,72.0
1704,Melissa Ross,19.0,84,47.0,67.0
1705,Stephanie Tucker,21.0,59,79.0,86.0
1706,Travis Wilson,23.0,59,43.0,90.0
1707,Rita Jones,22.0,64,94.0,30.0
1708,Scott Hooper,18.0,99,71.0,59.0
1709,Erin Jackson,24.0,59,78.0,49.0
1710,Cheryl Osborne,20.0,73,36.0,73.0
1711,Darlene Garcia,25.0,69,85.0,60.0
1712,Joseph Williams,24.0,75,62.0,61.0
1713,Fernando Weaver,18.0,94,42.0,88.0
1714,Katrina Hill,24.0,92,79.0,76.0
1715,Nathan Lee,19.0,79,43.0,66.0
1716,Jenna Whitney,18.0,31,88.0,39.0
1717,Joseph Tran,20.0,88,54.0,52.0
1718,Frank Williams,18.0,53,75.0,79.0
1719,Kelsey Grant,20.0,39,66.0,76.0
1720,Brittany Morales,22.0,81,32.0,49.0
1721,Angel Collins,24.0,96,89.0,60.0
1722,Ruben James,23.0,94,77.0,67.0
1723,Brian Watts,18.0,31,98.0,46.0
1724,Elizabeth Galloway,23.0,42,51.0,45.0
1725,Amy Medina,21.0,38,50.0,44.0
1726,William Becker,23.0,70,67.0,30.0
1727,Patrick Gardner,25.0,67,95.0,66.0
1728,Michael Miller,18.0,58,47.0,72.0
1729,Nathan Townsend,21.0,63,89.0,87.0
1730,Debra Young,22.0,79,71.0,66.0
1731,Lindsey Smith,23.0,72,88.0,39.0
1732,Amy Johnson,19.0,99,71.0,66.0
1733,Tyler Campbell,19.0,85,89.0,92.0
1734,Krystal Warren,20.0,74,38.0,38.0
1735,James Dean,22.0,93,94.0,42.0
1736,Dawn Turner,23.0,63,79.0,33.0
1737,Melanie Chapman,25.0,91,96.0,80.0
1738,Sandra Bailey,20.0,71,46.0,40.0
1739,Shawna Buck,23.0,61,65.0,96.0
1740,Laura Brooks,25.0,85,33.0,54.0
1741,James Jones,19.0,42,56.0,72.0
1742,Francis Evans,24.0,55,84.0,31.0
1743,Victor Morris,25.0,74,52.0,39.0
1744,Kevin Anderson,20.0,66,63.0,64.0
1745,Sara Barnes,22.0,32,83.0,75.0
1746,Peter Reed,19.0,55,59.0,84.0
1747,Arthur Flores,21.0,90,99.0,87.0
1748,Kyle Frank,25.0,56,87.0,99.0
1749,Kelsey Johnston,23.0,38,41.0,95.0
1750,Charlene Walton,22.0,77,88.0,35.0
1751,David Nelson,18.0,73,40.0,84.0
1752,Mallory Campbell,24.0,55,65.0,43.0
1753,Robert Reyes,19.0,80,60.0,81.0
1754,Javier Hall,18.0,61,51.0,73.0
1755,Douglas Barber,22.0,72,84.0,54.0
1756,Jason Harris,20.0,68,35.0,31.0
1757,Mark Montoya,21.0,32,48.0,83.0
1758,Anthony James,23.0,31,38.0,39.0
1759,Matthew Green,23.0,61,67.0,51.0
1760,Jacob Henderson,20.0,58,40.0,42.0
1761,Sherry Hill,24.0,75,58.0,76.0
1762,Dr. Garrett Buchanan,20.0,71,73.0,60.0
1763,Robert Reed,24.0,31,63.0,34.0
1764,Connor Klein,20.0,89,32.0,56.0
1765,Benjamin Haynes,18.0,77,43.0,39.0
1766,Ricardo Castro,20.0,100,43.0,92.0
1767,Sarah Walls,25.0,74,57.0,89.0
1768,Jonathan Webb,22.0,50,80.0,33.0
1769,Ralph Greer,24.0,100,37.0,57.0
1770,Dr. Crystal Jones,21.0,51,77.0,99.0
1771,Matthew Jimenez MD,24.0,39,89.0,86.0
1772,Chris Hunt,21.0,46,51.0,31.0
1773,William Garcia,22.0,55,98.0,43.0
1774,Frank Bryant,25.0,96,43.0,46.0
1775,Marcus Floyd,21.0,64,59.0,30.0
1776,Sarah Barnes MD,24.0,47,93.0,40.0
1777,Ryan Austin,22.0,41,47.0,90.0
1778,Tiffany Arnold,23.0,91,85.0,86.0
1779,Gregory Clark,23.0,33,40.0,82.0
1780,Christine Jackson,21.0,63,45.0,62.0
1781,Lisa Reeves,20.0,30,51.0,96.0
1782,Kim Kelly,19.0,89,76.0,36.0
1783,Jonathan Campbell,20.0,60,37.0,47.0
1784,Curtis Mclean,20.0,72,71.0,82.0
1785,Kenneth Fisher,24.0,42,70.0,82.0
1786,Ryan Rodgers,20.0,60,73.0,49.0
1787,Elizabeth Malone,19.0,82,39.0,35.0
1788,Sydney Parks,22.0,62,41.0,62.0
1789,Shannon Stewart,21.0,32,54.0,55.0
1790,Brandon Johnson,24.0,82,42.0,80.0
1791,Jill Ortiz,18.0,44,56.0,52.0
1792,Mrs. Alexandra Byrd,23.0,42,66.0,87.0
1793,James Riley,23.0,52,91.0,90.0
1794,Samantha Watson,19.0,75,97.0,81.0
1795,Ashley Schneider,21.0,77,67.0,79.0
1796,Mr. Joseph Thompson,23.0,98,54.0,73.0
1797,Valerie Mercer,18.0,50,32.0,38.0
1798,Dawn Turner,25.0,61,55.0,77.0
1799,Crystal Blair,20.0,40,40.0,96.0
1800,Sherry Hanson,23.0,95,59.0,62.0
1801,Taylor Meadows,18.0,37,99.0,99.0
1802,Michael Hubbard,24.0,41,78.0,98.0
1803,Danielle Shelton,21.0,41,90.0,77.0
1804,Tina Taylor,18.0,69,31.0,48.0
1805,Thomas Davis,18.0,64,38.0,92.0
1806,Jesus Walker,19.0,82,38.0,84.0
1807,Jacqueline Mckinney,24.0,60,68.0,100.0
1808,Jessica Malone,25.0,40,87.0,63.0
1809,Kathy Thompson,23.0,51,60.0,97.0
1810,Lisa Rasmussen,25.0,35,54.0,62.0
1811,Monica Evans,25.0,75,73.0,73.0
1812,Eric Owen,22.0,47,31.0,47.0
1813,Caroline Cochran,18.0,68,85.0,80.0
1814,William Jordan,18.0,56,41.0,100.0
1815,Derek Dyer,20.0,59,94.0,51.0
1816,Joseph Jackson,21.0,58,41.0,92.0
1817,Gail Gray,21.0,54,54.0,63.0
1818,Veronica Beard,24.0,86,32.0,52.0
1819,Regina Reynolds,24.0,95,43.0,68.0
1820,Johnny Walter,18.0,52,77.0,57.0
1821,Brian Ibarra,18.0,49,66.0,94.0
1822,Michael Ortiz,20.0,74,31.0,55.0
1823,Autumn Richardson,18.0,57,30.0,83.0
