Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
Jill Hopkins,19.0,61,70.0,87.0
Lisa Turner,25.0,45,46.0,98.0
Sophia Price,18.0,43,43.0,82.0
Brady Villanueva,22.0,66,42.0,63.0
John Ramirez,18.0,39,56.0,61.0
William Briggs,22.0,78,67.0,81.0
Erica Mathews,23.0,62,61.0,63.0
Matthew Wood,23.0,67,68.0,34.0
Richard Thomas,21.0,72,58.0,30.0
Cassandra Bartlett,21.0,42,98.0,88.0
Meghan Macias,25.0,95,63.0,39.0
Dawn Snyder,21.0,88,61.0,54.0
Amy Stone,25.0,67,51.0,84.0
Rickey Jones,24.0,42,39.0,97.0
William Martin,18.0,89,46.0,77.0
Amanda Dunlap,18.0,88,66.0,91.0
Lawrence Mullins,25.0,49,79.0,40.0
Cynthia Davis,24.0,84,69.0,82.0
Carmen Johnson,24.0,51,64.0,80.0
Joshua Bowman,23.0,88,48.0,95.0
Daisy Griffin,19.0,51,61.0,87.0
Richard Stephens,24.0,49,57.0,84.0
Steven Melendez,20.0,88,60.0,56.0
Deborah Johnson,20.0,96,66.0,53.0
Ryan Smith,19.0,43,62.0,91.0
Cameron Wallace,19.0,95,38.0,45.0
Bobby Gentry,22.0,49,56.0,43.0
Norman Patterson,21.0,64,66.0,98.0
Jessica Webb,19.0,37,83.0,39.0
Joshua Arnold,25.0,35,81.0,66.0
Tracy Wagner,19.0,31,86.0,68.0
Eddie Murphy,24.0,35,61.0,91.0
Maria Hawkins,21.0,31,77.0,100.0
James Shaw,25.0,33,89.0,98.0
Joshua Townsend,19.0,82,78.0,35.0
Sean Smith,22.0,33,51.0,44.0
Zachary Henry,24.0,98,60.0,37.0
Matthew Middleton,22.0,57,54.0,63.0
Michael Kennedy,20.0,35,83.0,33.0
Paige Johnson,19.0,51,32.0,77.0
Alicia Robinson,25.0,81,66.0,65.0
Stephanie Stevens,25.0,86,43.0,86.0
Dr. Jeffrey Kelly MD,21.0,43,83.0,45.0
Phillip Fisher,25.0,51,87.0,86.0
Jenna Page,25.0,40,96.0,94.0
Angel Burgess,22.0,75,30.0,45.0
Sarah Harper,18.0,76,46.0,92.0
Alejandra Frey,22.0,39,95.0,48.0
Stephanie Kelly,21.0,82,92.0,73.0
Jacob Gonzalez,20.0,36,43.0,44.0
Misty English,22.0,89,53.0,54.0
Alexis Gilmore,25.0,55,34.0,64.0
Victor Ferguson,20.0,93,85.0,34.0
Luis Bailey,20.0,93,44.0,74.0
Heather Nguyen,22.0,92,86.0,79.0
Phillip Kennedy,23.0,67,97.0,42.0
Cheryl Peterson,25.0,97,54.0,65.0
Angela Cain,25.0,30,68.0,78.0
Kathleen Ayers,25.0,97,57.0,86.0
Mr. Patrick Schneider DDS,21.0,63,82.0,67.0
Anna Ford,25.0,76,55.0,33.0
Tara Novak,20.0,52,33.0,74.0
Roy Lee,20.0,95,67.0,40.0
Joshua King,25.0,93,100.0,91.0
Jonathon Fowler,25.0,62,67.0,59.0
Anthony Davis,19.0,81,48.0,48.0
James Rodriguez,20.0,79,97.0,43.0
Alicia Simon,20.0,66,94.0,61.0
Fernando Wells,24.0,54,86.0,75.0
Courtney Gonzalez,24.0,37,50.0,57.0
Michael Graham,25.0,69,96.0,63.0
Cody Phillips,22.0,34,86.0,49.0
Catherine Ortega,19.0,92,71.0,73.0
Craig Kramer,23.0,59,65.0,65.0
Traci Marquez,18.0,68,39.0,79.0
Isaiah Johnson,25.0,67,31.0,76.0
Melinda Moran,23.0,71,37.0,55.0
Kimberly Johnson,19.0,63,96.0,99.0
Summer Wright,18.0,96,97.0,58.0
Amanda Willis,21.0,68,78.0,82.0
Amber Moore,19.0,52,32.0,70.0
Sabrina Sandoval,24.0,41,93.0,36.0
Angela Martinez,18.0,57,34.0,69.0
Becky Wilson,22.0,38,73.0,86.0
Mr. Steven York,20.0,66,99.0,34.0
Brittany Mccann,18.0,99,38.0,51.0
Vincent Vasquez,22.0,45,82.0,52.0
Kenneth Adams,19.0,34,96.0,45.0
Emily Page,24.0,96,50.0,35.0
Carla Lewis,18.0,37,41.0,48.0
Kaylee Bailey,24.0,87,92.0,74.0
Melissa Wright DDS,18.0,78,40.0,70.0
Tracy Mora,20.0,34,42.0,75.0
Richard Hubbard,24.0,64,45.0,65.0
Mandy Carey,23.0,66,74.0,93.0
Krista Jones,25.0,71,65.0,77.0
Tammy Perez,24.0,99,55.0,69.0
Trevor Mueller,20.0,38,82.0,76.0
Molly Strong,21.0,60,43.0,89.0
Jeffrey Velazquez,21.0,76,44.0,30.0
Cynthia Turner,24.0,70,77.0,97.0
Steven Ramirez,23.0,85,46.0,82.0
Christopher Morris,21.0,43,85.0,61.0
Richard Lozano,25.0,94,82.0,98.0
Jeffery Henderson,20.0,68,95.0,48.0
Jessica Munoz,20.0,51,62.0,46.0
Matthew Bailey,24.0,47,46.0,70.0
Steve Hodge,24.0,35,99.0,99.0
Laura Green,25.0,59,42.0,36.0
Michael Maddox,21.0,91,45.0,35.0
Michael Page,23.0,81,48.0,96.0
Thomas Anderson,23.0,89,78.0,30.0
Caitlin Cole,24.0,31,91.0,38.0
Michelle Scott,23.0,43,73.0,91.0
Todd Fletcher,23.0,100,30.0,96.0
Jason Romero,20.0,41,89.0,48.0
Thomas Webster,18.0,30,45.0,99.0
Michael Ward DVM,18.0,39,62.0,49.0
Samuel Dunn,18.0,100,81.0,70.0
Marc Young,19.0,31,90.0,38.0
Patty Lee,22.0,84,80.0,99.0
Dalton Parsons,19.0,38,82.0,39.0
Sean Brooks,18.0,70,98.0,33.0
Shane Schmidt,20.0,64,36.0,51.0
Kevin Petty,19.0,42,78.0,70.0
Leah Hoffman,19.0,94,32.0,91.0
Alec Martinez,19.0,96,70.0,96.0
Christina Gonzales,24.0,46,61.0,74.0
Thomas Gonzalez,24.0,94,49.0,83.0
Lori Jones,23.0,97,68.0,31.0
Rachel Henderson,25.0,40,74.0,96.0
Allen Johns,20.0,33,97.0,50.0
Kathleen Gardner,20.0,71,62.0,36.0
Tina Gibson,23.0,56,50.0,43.0
Paul Crane,22.0,40,75.0,81.0
Patrick Burton,23.0,31,76.0,83.0
Norma James,22.0,42,31.0,47.0
Elizabeth Hernandez,21.0,76,54.0,100.0
Amy Brewer,20.0,44,72.0,76.0
Brittany Rogers,20.0,93,36.0,57.0
Ashley Bright,24.0,78,58.0,96.0
Kelli Henderson,20.0,80,30.0,66.0
Jeremy Wiggins,22.0,58,67.0,77.0
Paul Davis,24.0,92,91.0,80.0
Melissa Calhoun,23.0,74,56.0,93.0
Morgan Bailey,18.0,39,45.0,92.0
Jacqueline Harris,25.0,77,57.0,50.0
Denise Edwards,24.0,87,35.0,95.0
Ronald Young,24.0,32,97.0,88.0
Jeffrey Jenkins,23.0,62,41.0,73.0
Jeffrey Watson,18.0,53,63.0,64.0
Pamela Manning DVM,22.0,80,51.0,76.0
Kelly Blair,20.0,37,54.0,38.0
Victoria Jimenez,24.0,79,57.0,38.0
Troy Thompson,20.0,56,85.0,37.0
Philip Smith,23.0,51,86.0,60.0
Tanya Valenzuela,21.0,40,58.0,53.0
Laura Coffey,25.0,49,94.0,86.0
Erin Terrell,24.0,79,53.0,59.0
Susan Page,21.0,72,59.0,59.0
Caleb Bowen,20.0,42,67.0,93.0
Samuel Holder,22.0,95,53.0,32.0
Victor Adams,21.0,84,68.0,86.0
Tammy Rojas,24.0,73,42.0,84.0
David Frederick,23.0,76,55.0,78.0
Lisa Hernandez,18.0,52,68.0,54.0
Kristen Guzman,22.0,82,48.0,62.0
Cynthia Jones,23.0,35,38.0,50.0
Edward Houston,18.0,47,97.0,59.0
Ivan Peterson,21.0,63,89.0,46.0
Cory Kim,22.0,41,31.0,86.0
Diana Hicks,18.0,37,82.0,98.0
Christopher Gonzales,22.0,59,32.0,69.0
Brian Anderson,24.0,47,59.0,97.0
Nicole Bell,18.0,91,33.0,78.0
Gordon Barrett,19.0,77,93.0,46.0
Travis Dennis,20.0,61,66.0,67.0
Leah Simmons,25.0,89,67.0,49.0
Jacob Cole,20.0,82,50.0,49.0
Lauren Miller,19.0,41,97.0,79.0
Mary Howell,20.0,81,92.0,57.0
Steven Bennett,19.0,94,34.0,41.0
Mario Barrett,23.0,57,83.0,90.0
Erin Conway,19.0,36,60.0,47.0
Joel Brown,18.0,66,100.0,59.0
Scott Smith,19.0,98,34.0,73.0
Steve Jackson,18.0,90,79.0,31.0
James Walter,25.0,68,66.0,48.0
Todd Gibson,18.0,34,56.0,79.0
Jason Delgado,21.0,75,95.0,65.0
Mark Warner,19.0,75,88.0,91.0
Melissa Munoz,23.0,91,91.0,86.0
Jeff Walker,25.0,48,50.0,74.0
Samantha Davis,18.0,54,45.0,39.0
Jennifer Nunez,19.0,95,79.0,39.0
Eric Pollard,18.0,78,100.0,74.0
Mary Green,19.0,41,69.0,98.0
Deborah Avery,25.0,76,68.0,78.0
Samantha Smith,23.0,70,70.0,52.0
Jamie Vang,24.0,79,96.0,83.0
Stanley Sweeney,18.0,56,73.0,84.0
Donna Kelly,22.0,64,96.0,85.0
Richard Glenn,20.0,73,36.0,96.0
Kristin Hodges,19.0,69,84.0,32.0
Timothy Bell,25.0,89,43.0,35.0
Nicholas Russell,25.0,34,62.0,92.0
Bob Castillo,19.0,63,99.0,77.0
Luke Holt,20.0,77,61.0,57.0
Charles Jackson,22.0,56,38.0,88.0
Wendy Hall,20.0,64,81.0,64.0
Christopher Brown,20.0,78,63.0,48.0
Cameron Keith,19.0,51,90.0,53.0
James Oconnor,23.0,99,30.0,76.0
Adam Adams MD,24.0,70,77.0,86.0
Gregory Grant,19.0,88,43.0,92.0
Dawn Allen,18.0,59,100.0,78.0
Matthew Hanna,23.0,89,82.0,42.0
Kristen Campos,22.0,95,39.0,76.0
Christopher Jones,21.0,86,48.0,52.0
Tracy Williams,18.0,91,91.0,45.0
Barbara Roberts,21.0,43,98.0,77.0
Shelly Brown,24.0,55,67.0,69.0
Christopher Miller,21.0,83,96.0,90.0
Austin Hernandez,18.0,100,36.0,97.0
Nicole Mayer,25.0,31,76.0,92.0
Rebecca Sanchez,22.0,59,56.0,44.0
Cynthia Hall,21.0,89,85.0,99.0
Kimberly Santiago,23.0,46,56.0,58.0
Julie Ball,18.0,41,79.0,65.0
Diana Jacobson,21.0,54,58.0,39.0
Cheryl Chavez,25.0,37,64.0,79.0
Jason Pierce,20.0,82,50.0,42.0
Adrienne Thomas,23.0,61,77.0,78.0
Jacqueline Smith,23.0,71,98.0,41.0
Anna Smith,19.0,42,93.0,47.0
April Jacobs,22.0,94,53.0,50.0
Matthew Wilson,23.0,63,72.0,75.0
Charlotte Sandoval,21.0,73,64.0,53.0
Samantha Flores,19.0,68,73.0,35.0
Joseph Keller,25.0,83,86.0,93.0
Jeremiah Crane,25.0,34,44.0,89.0
Wesley Johnson MD,19.0,76,85.0,43.0
Mary Lee,19.0,42,41.0,49.0
Timothy Jones,20.0,86,31.0,50.0
Lance Acosta,25.0,78,70.0,66.0
Danny Gates,24.0,92,32.0,69.0
Justin Perez,20.0,64,58.0,66.0
Patrick Ford,21.0,54,65.0,76.0
Makayla Hubbard,23.0,35,97.0,67.0
Joseph Mendoza,18.0,97,65.0,71.0
Jackie Huynh,25.0,37,64.0,88.0
Brittany Harvey,23.0,89,86.0,61.0
Joseph Thornton,24.0,100,34.0,67.0
Kristen Chen,20.0,96,87.0,77.0
Tyler Stevens,18.0,91,35.0,38.0
Katelyn Barnes,24.0,50,72.0,68.0
James Wilson,19.0,65,35.0,53.0
Christopher Nelson,25.0,62,59.0,86.0
Christopher Mayo,21.0,92,100.0,95.0
Robert Martinez,20.0,67,40.0,69.0
Christopher Carter,21.0,89,38.0,30.0
Melissa Reynolds,24.0,94,46.0,51.0
Kathryn Watson,21.0,99,80.0,39.0
Gavin Stein,19.0,71,62.0,97.0
Alexander Peters,22.0,90,70.0,92.0
Steven Mccormick,24.0,92,96.0,93.0
Melissa Brown,20.0,43,100.0,85.0
Ann Harris,21.0,30,72.0,32.0
Scott Kaufman,18.0,70,59.0,60.0
Alexis Francis,21.0,65,55.0,41.0
Maria Carter,19.0,72,61.0,98.0
Michael Sandoval,18.0,45,80.0,32.0
Ronald Mcmahon,23.0,85,100.0,81.0
Benjamin Guzman,25.0,98,35.0,89.0
Michael Hansen,19.0,82,31.0,55.0
Bethany Woods,23.0,93,54.0,67.0
Julie Hoffman,18.0,30,80.0,82.0
William Stanley,22.0,45,100.0,60.0
Stephanie Nguyen,19.0,76,55.0,77.0
David Hayes,21.0,32,33.0,51.0
Thomas Thomas,24.0,66,52.0,62.0
Kevin Cunningham,23.0,68,98.0,33.0
Elizabeth Marshall,24.0,89,63.0,65.0
Jill Hernandez,23.0,57,57.0,49.0
Lisa Lee,20.0,87,36.0,73.0
Christopher Clark,18.0,54,98.0,76.0
Cameron Brown,25.0,72,60.0,88.0
Leah Taylor,23.0,88,82.0,44.0
Lauren Sweeney,24.0,72,61.0,69.0
Melissa Kelley,19.0,81,57.0,75.0
Alyssa Long,25.0,78,58.0,64.0
Brian Ramos,19.0,65,67.0,75.0
Tracy Berry,18.0,96,84.0,90.0
Sarah Parker,22.0,59,90.0,40.0
Jose Robinson,25.0,92,85.0,57.0
Jeffery Anderson,24.0,49,90.0,73.0
Jennifer Williams,22.0,63,63.0,47.0
Christopher Frazier,18.0,93,50.0,87.0
Mrs. Jennifer Mcbride DDS,22.0,60,64.0,30.0
Michelle Pierce DDS,19.0,44,50.0,63.0
Eduardo Morris,21.0,38,71.0,91.0
Lori Ferguson,24.0,60,35.0,67.0
Tiffany Wilson,18.0,66,98.0,61.0
Dr. Michelle Green,21.0,36,59.0,67.0
Catherine Cain,19.0,74,45.0,94.0
Michelle Williams,21.0,82,36.0,93.0
Kevin George,20.0,68,58.0,66.0
Roy Butler,22.0,96,74.0,64.0
Pamela Garcia,20.0,59,88.0,85.0
Alisha Scott,24.0,84,43.0,48.0
Julie Thomas,18.0,59,32.0,57.0
Nicole Brown,23.0,96,49.0,72.0
Lori Williams,18.0,87,73.0,36.0
Clayton Palmer,20.0,42,94.0,52.0
Lisa Howard,20.0,64,82.0,53.0
Richard Hamilton,20.0,72,90.0,66.0
Charles Green,24.0,56,85.0,85.0
Michael Lynn,22.0,84,59.0,91.0
Brianna Carlson,21.0,90,66.0,92.0
Alexis Jackson,18.0,31,62.0,59.0
Tiffany Wolf,23.0,83,88.0,93.0
Dustin Gillespie,23.0,47,66.0,90.0
Jenna Jones,22.0,69,45.0,55.0
Sabrina Johnston,22.0,42,66.0,94.0
Amber Powell,18.0,94,70.0,37.0
Marcus Strickland,20.0,43,80.0,91.0
Riley Kramer,19.0,85,77.0,95.0
Dr. Keith Barker,20.0,47,74.0,90.0
Valerie Williams,19.0,47,74.0,77.0
David Jackson II,20.0,58,77.0,30.0
Diana Williams,25.0,48,66.0,68.0
Edwin Gallagher,25.0,48,34.0,61.0
Elijah Smith,19.0,39,60.0,74.0
Rebecca Robles,19.0,64,48.0,50.0
Mrs. Cathy Johnson,18.0,80,93.0,42.0
Ashley Fox,23.0,36,75.0,48.0
Sarah Weaver,20.0,38,51.0,56.0
Michael Sims,25.0,53,65.0,35.0
Laura Huynh,23.0,57,100.0,72.0
Dan Fisher,25.0,64,92.0,68.0
Mr. Matthew Smith,19.0,82,46.0,31.0
Heather Conley,21.0,52,40.0,60.0
Jaime Green,23.0,59,58.0,87.0
Danielle Christian,20.0,50,72.0,84.0
Anthony Wilson,25.0,30,87.0,77.0
Sabrina Barker,19.0,57,93.0,73.0
Jennifer Barnett,22.0,69,88.0,69.0
Jessica Buchanan,21.0,33,53.0,60.0
Cody Gonzalez,18.0,82,96.0,95.0
Rhonda Brown,19.0,99,95.0,80.0
David Brown,23.0,92,80.0,40.0
Michelle Alvarado,21.0,88,60.0,58.0
Jill Smith,23.0,80,76.0,41.0
Dawn Gomez,18.0,95,77.0,83.0
Cheryl Thomas,25.0,69,68.0,30.0
Danielle Martin,21.0,54,66.0,67.0
Pamela Gray,24.0,86,34.0,65.0
Robert Alexander,21.0,75,77.0,93.0
Brett Chavez,18.0,84,80.0,43.0
Chad Miller,23.0,84,95.0,80.0
Bryce Ramirez,24.0,84,62.0,81.0
Christopher Lopez,25.0,56,72.0,50.0
Michael Thompson,18.0,78,80.0,71.0
Brian Randall,22.0,85,65.0,78.0
Rachael Johnson,22.0,82,30.0,56.0
Bethany Hansen,20.0,99,51.0,44.0
Debra Jones,20.0,45,86.0,50.0
Christopher Olson,25.0,57,35.0,93.0
Heather Kent,19.0,91,67.0,35.0
Christine Thomas,25.0,75,47.0,56.0
Patrick Roberts,25.0,46,82.0,50.0
Nancy Richards,18.0,78,67.0,62.0
Sandra Valdez,25.0,33,74.0,97.0
Juan House,24.0,85,86.0,59.0
James Clark,21.0,90,66.0,62.0
Kim Miller,19.0,78,69.0,45.0
Adam Gillespie,22.0,62,86.0,47.0
Elizabeth Campbell,21.0,84,61.0,51.0
Javier Sawyer,18.0,54,44.0,48.0
Miranda Price,25.0,32,48.0,77.0
Adam Meyer,24.0,90,96.0,95.0
Luis Frederick,22.0,44,35.0,86.0
Ian Pennington,23.0,71,38.0,76.0
Jessica Dunlap,21.0,61,65.0,80.0
Jodi Clark,21.0,83,40.0,98.0
Michael Brown,18.0,35,52.0,38.0
Barbara Taylor,22.0,57,88.0,88.0
Tina Klein,23.0,85,87.0,85.0
Jim Jones,25.0,38,36.0,37.0
Denise Mendoza,18.0,92,41.0,94.0
Samantha Garcia,21.0,49,88.0,78.0
Jose Black,20.0,68,92.0,89.0
Andrew Pena,23.0,80,52.0,51.0
Jason Salazar,20.0,96,61.0,94.0
Johnny Schroeder,18.0,87,77.0,46.0
Scott Crosby,18.0,94,30.0,34.0
Kendra May,23.0,49,62.0,46.0
Brian Sanchez,19.0,89,42.0,34.0
Jessica Lawrence,24.0,54,64.0,93.0
Derek Vazquez,22.0,79,98.0,56.0
Kristie Carlson,18.0,85,31.0,95.0
Angela Greene,21.0,37,52.0,99.0
Roger Lewis,21.0,48,53.0,45.0
Traci Valenzuela,20.0,48,82.0,65.0
Whitney Mcdonald,22.0,83,40.0,34.0
Zoe Jones,24.0,88,93.0,39.0
Joanna Dennis,19.0,46,61.0,46.0
Patrick Carter,21.0,54,74.0,71.0
Steven Moore,22.0,89,90.0,43.0
Kendra Melendez,23.0,54,32.0,85.0
Amy Taylor,20.0,96,37.0,98.0
Dustin Blackwell,18.0,74,77.0,44.0
Edward Armstrong,20.0,37,48.0,48.0
John Brown,20.0,51,41.0,45.0
Lauren Carter,21.0,32,68.0,46.0
Molly Whitehead,21.0,32,86.0,34.0
Brandi Brown,21.0,95,31.0,74.0
David Jones,21.0,59,40.0,56.0
Kimberly Liu,21.0,86,30.0,96.0
Dr. Todd Miller,22.0,55,31.0,93.0
Kristen Jimenez,21.0,48,66.0,81.0
Brandon Harvey,25.0,87,39.0,43.0
Daniel Schultz,19.0,98,52.0,48.0
Robert Collier,22.0,35,43.0,71.0
Bonnie Brewer,25.0,84,100.0,69.0
Justin Lynch,25.0,46,91.0,57.0
Dr. Monica Hansen,21.0,46,58.0,100.0
Kiara Jones,20.0,58,59.0,41.0
Sophia Hernandez,21.0,65,56.0,40.0
Natalie Young,18.0,36,98.0,45.0
John Boyer,21.0,53,30.0,91.0
Thomas Marshall,23.0,36,56.0,79.0
Jason Beard,19.0,51,36.0,44.0
Mary Fields,24.0,40,87.0,63.0
Stephanie Buckley,21.0,90,52.0,86.0
Daniel Olson,23.0,81,99.0,50.0
Dr. Catherine Santiago PhD,21.0,58,31.0,33.0
Sally Dawson,25.0,42,55.0,42.0
Jessica Ramsey,24.0,57,76.0,31.0
Sarah Fox,25.0,72,69.0,53.0
Kelly Sanford,19.0,89,44.0,83.0
Kylie Sandoval,25.0,53,41.0,86.0
Marcus Reyes,18.0,96,61.0,74.0
Nancy Jimenez,24.0,55,65.0,71.0
Jennifer Thompson,19.0,50,47.0,81.0
Matthew Lloyd,19.0,70,74.0,49.0
Patricia Frazier,18.0,33,76.0,94.0
Tiffany Wolf,18.0,64,52.0,30.0
Derek Smith,22.0,62,77.0,90.0
David Rodriguez,19.0,52,46.0,67.0
Brett Rogers,24.0,44,91.0,86.0
Craig Arias,19.0,56,75.0,71.0
Marie Welch,23.0,94,66.0,34.0
Danielle Carter,24.0,98,41.0,50.0
Keith Wright,19.0,93,60.0,33.0
Mary Rogers,18.0,51,59.0,64.0
Jonathan Richardson,21.0,42,74.0,93.0
Matthew Turner,19.0,58,31.0,92.0
Alyssa Peterson,22.0,38,77.0,40.0
Daniel Powell,20.0,63,88.0,42.0
Darlene Lynch,22.0,100,72.0,92.0
Katherine Gross,20.0,72,99.0,57.0
Rebecca Boyd,18.0,34,47.0,45.0
Tiffany Young,18.0,89,93.0,94.0
Daniel Copeland,18.0,44,75.0,91.0
Christina Smith,22.0,96,52.0,75.0
Joshua Peterson,19.0,63,53.0,89.0
Raymond Garrett,18.0,45,38.0,38.0
Suzanne Drake,21.0,86,59.0,57.0
Carla May,25.0,88,64.0,79.0
Jesse Sanchez,24.0,83,68.0,32.0
Hannah Foster,20.0,35,54.0,52.0
Michael Wyatt,19.0,30,62.0,31.0
April King,19.0,66,92.0,62.0
April Baldwin,20.0,90,49.0,72.0
Benjamin Sanchez,21.0,96,99.0,65.0
April Huynh,21.0,69,100.0,90.0
Katherine Barker,22.0,57,54.0,59.0
Ashlee Martinez,18.0,90,62.0,93.0
Angela Holmes MD,18.0,39,35.0,84.0
Shannon Burton,18.0,34,65.0,91.0
Nicole Rodgers,19.0,88,56.0,38.0
Mrs. Gina Thompson DDS,20.0,54,89.0,34.0
James Baxter,24.0,81,83.0,60.0
Isaiah Contreras,23.0,57,89.0,85.0
Samantha Dickerson,23.0,38,89.0,80.0
Leslie Jackson,25.0,31,89.0,65.0
Bryan Lewis,22.0,82,54.0,87.0
Mckenzie Edwards,21.0,54,58.0,37.0
Catherine Casey,20.0,95,56.0,52.0
John Cox,21.0,51,62.0,67.0
Michelle Kelly,21.0,83,35.0,54.0
Nichole Ross,25.0,59,100.0,31.0
Gary Hoffman,22.0,98,96.0,33.0
Hannah Smith,19.0,44,41.0,32.0
Sydney Wilson,23.0,50,73.0,55.0
John Knight,18.0,75,48.0,49.0
Susan Banks,24.0,80,35.0,54.0
Paige Avila,20.0,69,71.0,57.0
Timothy Baker,21.0,89,71.0,46.0
Anne Juarez,22.0,31,80.0,95.0
Aaron Robinson,18.0,54,40.0,70.0
Bradley Martin,20.0,43,77.0,66.0
Linda Russell,19.0,47,87.0,55.0
Brendan Miles,21.0,70,47.0,91.0
Jermaine Carter,19.0,96,37.0,46.0
Kelly Wallace,25.0,67,86.0,68.0
Dr. Matthew Ayala,19.0,74,58.0,74.0
David Contreras,25.0,38,53.0,89.0
Debra Mcneil,25.0,47,70.0,67.0
Thomas Dean,23.0,60,96.0,95.0
Susan Hill,19.0,43,34.0,94.0
Kristin Cross,20.0,43,58.0,95.0
Amanda Anderson,18.0,67,78.0,48.0
Tyler Torres,19.0,57,42.0,52.0
David Nelson,18.0,50,65.0,39.0
Stacey Williams,23.0,55,78.0,98.0
Margaret Green,18.0,83,91.0,85.0
Robert Andrews,18.0,57,49.0,68.0
Jessica Nichols,18.0,91,98.0,45.0
Corey Robertson,22.0,95,83.0,47.0
Christina Rivas,19.0,86,75.0,46.0
William Nelson,20.0,31,99.0,75.0
Brian Walker,24.0,93,75.0,85.0
Lauren Mcpherson,22.0,39,36.0,37.0
Elizabeth Mason,23.0,33,97.0,79.0
James Moses,20.0,59,84.0,85.0
Shawn Lee,18.0,90,60.0,53.0
Julie Rios,18.0,71,39.0,95.0
Shelley Lozano,22.0,61,94.0,43.0
Stacy Curtis,24.0,63,57.0,76.0
Joel Bryant,18.0,45,69.0,48.0
Tanya Wong,25.0,91,73.0,88.0
Meghan Duncan,23.0,58,83.0,33.0
Ryan Ellis DDS,25.0,49,93.0,55.0
Jennifer Gibson,23.0,32,90.0,43.0
Sara Anderson,21.0,57,83.0,79.0
Lisa Curry,23.0,88,97.0,51.0
Thomas Clark,23.0,89,36.0,57.0
Keith Williams,24.0,69,52.0,35.0
Matthew Wang,18.0,82,80.0,91.0
Carla Lam,18.0,63,55.0,54.0
Paul Morgan,20.0,94,69.0,78.0
James Giles,23.0,39,32.0,93.0
Francis Price,23.0,100,33.0,90.0
Devin Allen,23.0,44,90.0,91.0
Harry Rose,21.0,69,31.0,71.0
Crystal Coleman,19.0,85,61.0,64.0
Tara Reilly,21.0,93,96.0,72.0
Steven Walker,23.0,63,88.0,35.0
Jacob Moss,24.0,67,41.0,57.0
David Carson,22.0,45,85.0,90.0
Adrienne Figueroa,19.0,77,76.0,50.0
Miss Amanda Sparks,25.0,95,90.0,69.0
Zachary Mcdonald,22.0,55,73.0,95.0
Leslie Garcia,25.0,43,42.0,92.0
Kurt Hicks,23.0,56,69.0,83.0
Holly Clayton,22.0,64,88.0,83.0
Michael Carr,19.0,43,57.0,88.0
Francisco Mcdaniel,18.0,66,78.0,62.0
Melinda Webster,21.0,49,56.0,89.0
Cynthia Flowers,23.0,87,53.0,70.0
Douglas Spencer,22.0,92,36.0,96.0
Kathleen Johnson,19.0,43,71.0,74.0
Jasmine Murray,22.0,98,42.0,64.0
Rachel Diaz,23.0,54,93.0,91.0
Bruce West,18.0,86,88.0,42.0
Heather Bautista,23.0,58,64.0,73.0
Christian Rosales,19.0,35,88.0,94.0
John Davis,25.0,86,92.0,96.0
Brent Mullins,19.0,87,67.0,41.0
Shaun Gomez,24.0,90,32.0,76.0
Chelsea Bird,25.0,84,97.0,85.0
Seth Cook,21.0,58,41.0,91.0
Gene Rose,25.0,51,45.0,73.0
Michael Hicks,25.0,60,52.0,92.0
John Gordon,24.0,59,74.0,62.0
Mrs. Tara Brown,20.0,33,40.0,69.0
Timothy Salazar,18.0,99,38.0,86.0
Bryan Spencer,20.0,67,62.0,99.0
Benjamin Lowe,24.0,50,39.0,57.0
Julie Cardenas,18.0,98,46.0,62.0
Lynn Thompson,18.0,81,45.0,53.0
Michael Guzman,24.0,81,98.0,74.0
Oscar Clements,24.0,95,95.0,100.0
Deanna Garcia,24.0,58,57.0,51.0
Mark Wright,21.0,43,56.0,69.0
Wendy Garcia,19.0,77,44.0,59.0
Kelly Cruz,20.0,69,52.0,97.0
Billy Vazquez,24.0,61,72.0,35.0
Miranda Lewis,24.0,80,79.0,52.0
Brooke Vargas,25.0,31,49.0,78.0
Laurie Haley,25.0,85,87.0,70.0
Sara Jenkins,20.0,72,48.0,84.0
Daniel Wilson,20.0,42,62.0,37.0
Adam Clarke,20.0,94,90.0,57.0
James Spencer,25.0,73,86.0,63.0
Amanda Williams,22.0,47,70.0,93.0
Tina Medina PhD,24.0,82,52.0,57.0
Eddie Miranda,23.0,50,81.0,51.0
Shannon Webb,18.0,39,78.0,61.0
Mr. Nicholas Green DDS,21.0,41,38.0,47.0
Wesley Gonzalez,22.0,66,35.0,81.0
Victoria Kennedy,25.0,70,86.0,49.0
Shaun Klein,25.0,42,88.0,57.0
Diana Rodriguez,20.0,86,74.0,80.0
Shannon White,22.0,32,85.0,71.0
Keith Sims,22.0,51,99.0,68.0
Kelly Wagner,24.0,53,68.0,32.0
Edwin Reyes,22.0,69,49.0,60.0
Melissa Sandoval,23.0,30,30.0,59.0
Diane Vasquez,25.0,73,88.0,65.0
Julie Jimenez,25.0,56,65.0,64.0
Michelle Baker,25.0,97,64.0,39.0
Christopher Johnson,21.0,100,80.0,63.0
John Delacruz,21.0,32,69.0,73.0
Stacey Morales,25.0,80,66.0,72.0
Tammy Walker,19.0,94,84.0,69.0
Carrie Taylor,24.0,34,45.0,65.0
Andrea Fuller,18.0,48,51.0,41.0
